t_sec,x1_load,x2_load,x3_load,x4_load,x5_load,x6_diff,y_lower_t-1,y_upper_t-1,y_lower_t-2,y_upper_t-2,y_lower_t-3,y_upper_t-3,dt_current,dt_prev,dt_prev2,y_lower,y_upper,C组推进压力,E组推进压力
6780.0,1.487268,1.877532,2.046441,1.696325,1.231192,141.55095,733.3633,710.6328,658.4609,635.7305,584.2422,563.0742,60.0,60.0,60.0,807.875,785.8282,190.7697,49.21875
6840.0,1.574436,1.990379,2.164352,1.628327,1.265553,137.97743,807.875,785.8282,733.3633,710.6328,658.4609,635.7305,60.0,60.0,60.0,883.2656,861.2188,186.9213,48.94387
6900.0,1.650752,2.107928,2.420428,1.960359,1.392867,136.41492,883.2656,861.2188,807.875,785.8282,733.3633,710.6328,60.0,60.0,60.0,934.3399,912.293,181.4236,45.00868
6960.0,1.606626,1.92419,2.08478,1.679688,1.233724,137.38425,934.3399,912.293,883.2656,861.2188,807.875,785.8282,60.0,60.0,60.0,1003.773,982.0195,186.6464,49.26215
7020.0,1.529586,1.812428,1.886936,1.718027,1.259766,127.58966000000001,1003.773,982.0195,934.3399,912.293,883.2656,861.2188,60.0,60.0,60.0,1078.871,1057.898,177.2569,49.66724
7080.0,1.589988,1.937572,2.060185,1.663773,1.226852,141.99939,1078.871,1057.898,1003.773,982.0195,934.3399,912.293,60.0,60.0,60.0,1154.555,1133.094,191.5943,49.59491
7140.0,1.569372,1.910807,1.958912,1.826172,1.342592,142.44792,1154.555,1133.094,1078.871,1057.898,1003.773,982.0195,60.0,60.0,60.0,1230.141,1208.191,192.636,50.18808
7260.0,1.658348,1.995804,2.071398,1.937211,1.468461,154.5284,1230.141,1208.191,1154.555,1133.094,1078.871,1057.898,120.0,60.0,60.0,1349.965,1327.625,203.9931,49.4647
7320.0,1.612413,1.946253,2.077546,1.790003,1.284361,137.26855999999998,1349.965,1327.625,1230.141,1208.191,1154.555,1133.094,60.0,120.0,60.0,1424.672,1403.016,187.3843,50.11574
8580.0,1.438079,1.739728,1.931424,1.77445,1.272425,142.44790999999998,1633.461,1611.414,1559.242,1536.512,1485.219,1461.902,60.0,60.0,60.0,1708.754,1685.438,191.7824,49.33449
8640.0,1.482567,1.82798,1.798322,1.659795,1.210214,125.04345,1708.754,1685.438,1633.461,1611.414,1559.242,1536.512,60.0,60.0,60.0,1783.656,1761.609,174.2622,49.21875
8700.0,1.492694,1.76577,1.990379,1.761068,1.286531,128.18291,1783.656,1761.609,1708.754,1685.438,1633.461,1611.414,60.0,60.0,60.0,1858.949,1836.609,177.9659,49.78299
8760.0,1.580946,1.961082,1.879702,1.794705,1.395399,143.02664000000001,1858.949,1836.609,1783.656,1761.609,1708.754,1685.438,60.0,60.0,60.0,1934.047,1911.414,192.419,49.39236
20340.0,1.563585,1.946976,2.237775,1.769025,1.299913,149.55155000000002,709.7305,645.3984,649.0859,584.7539,596.4492,534.7539,60.0,60.0,60.0,771.6446,707.8984,204.0799,54.52835
20400.0,1.672815,2.047888,2.377026,1.735388,1.376953,150.07236,771.6446,707.8984,709.7305,645.3984,649.0859,584.7539,60.0,60.0,60.0,841.0781,776.4531,204.3403,54.26794
20460.0,1.680049,2.033782,2.380642,1.881149,1.33138,143.20027,841.0781,776.4531,771.6446,707.8984,709.7305,645.3984,60.0,60.0,60.0,906.8985,842.6641,199.4358,56.23553
20580.0,1.788556,2.143012,2.485894,1.950232,1.531756,123.03242,906.8985,842.6641,841.0781,776.4531,771.6446,707.8984,120.0,60.0,60.0,1005.922,944.7148,191.0735,68.04108
20640.0,1.732856,2.120226,2.519531,1.852214,1.449653,126.11399000000002,1005.922,944.7148,906.8985,842.6641,841.0781,776.4531,60.0,120.0,60.0,1072.523,1011.609,190.842,64.72801
20700.0,1.71441,2.117332,2.446108,1.894531,1.459418,125.75232,1072.523,1011.609,1005.922,944.7148,906.8985,842.6641,60.0,60.0,120.0,1141.078,1080.652,190.4948,64.74248
20760.0,1.788194,2.293837,2.679037,1.873192,1.559245,126.98207,1141.078,1080.652,1072.523,1011.609,1005.922,944.7148,60.0,60.0,60.0,1207.094,1147.156,191.9705,64.98843
20820.0,1.769748,2.212818,2.557509,1.886936,1.46629,130.94617,1207.094,1147.156,1141.078,1080.652,1072.523,1011.609,60.0,60.0,60.0,1272.914,1212.684,192.3611,61.41493
20940.0,1.814236,2.184245,2.528574,1.876085,1.501736,156.71298,1272.914,1212.684,1207.094,1147.156,1141.078,1080.652,120.0,60.0,60.0,1380.824,1319.617,203.3131,46.60012
21000.0,1.77662,2.195457,2.447193,1.87283,1.538267,156.52487,1380.824,1319.617,1272.914,1212.684,1207.094,1147.156,60.0,120.0,60.0,1448.891,1387.195,202.8501,46.32523
21060.0,1.787833,2.15965,2.348814,1.81496,1.43844,155.36745000000002,1448.891,1387.195,1380.824,1319.617,1272.914,1212.684,60.0,60.0,120.0,1512.367,1451.258,204.0509,48.68345
21120.0,1.786386,2.106843,2.36292,1.859809,1.54116,148.58213,1512.367,1451.258,1448.891,1387.195,1380.824,1319.617,60.0,60.0,60.0,1573.012,1511.805,203.776,55.19387
21180.0,1.735026,2.154586,2.415003,1.873915,1.407335,144.96528,1573.012,1511.805,1512.367,1451.258,1448.891,1387.195,60.0,60.0,60.0,1633.559,1571.863,198.9728,54.00752
21300.0,2.048249,2.352792,2.485533,1.916956,1.66088,146.31077,1633.559,1571.863,1573.012,1511.805,1512.367,1451.258,120.0,60.0,60.0,1714.516,1653.992,203.5735,57.26273
21360.0,1.821832,2.415726,2.644676,1.862341,1.46195,145.18234,1714.516,1653.992,1633.559,1571.863,1573.012,1511.805,60.0,120.0,60.0,1783.754,1723.035,200.7379,55.55556
21420.0,1.867405,2.204861,2.250072,1.729962,1.702836,146.07926,1783.754,1723.035,1714.516,1653.992,1633.559,1571.863,60.0,60.0,120.0,1852.894,1792.078,203.5156,57.43634
21480.0,1.577329,2.359303,2.34158,1.818215,1.402995,131.75633000000002,1852.894,1792.078,1783.754,1723.035,1714.516,1653.992,60.0,60.0,60.0,1925.551,1865.027,187.5723,55.81597
21540.0,1.68873,1.989294,2.045356,1.838108,1.557075,129.49939999999998,1925.551,1865.027,1852.894,1792.078,1783.754,1723.035,60.0,60.0,60.0,1992.738,1932.117,186.2413,56.7419
26580.0,1.623626,1.90068,2.268518,1.811704,1.353443,160.5903,733.7539,707.1172,668.3242,642.0781,606.5078,582.6055,60.0,60.0,60.0,802.6016,775.2813,210.6337,50.0434
26640.0,1.552734,1.908275,2.148799,1.739728,1.288339,153.79055,802.6016,775.2813,733.7539,707.1172,668.3242,642.0781,60.0,60.0,60.0,868.7148,841.1993,204.6152,50.82465
26700.0,1.762876,2.063802,2.21101,1.825087,1.414207,161.25576,868.7148,841.1993,802.6016,775.2813,733.7539,707.1172,60.0,60.0,60.0,936.0,907.8985,211.9068,50.65104
26760.0,1.711878,2.120587,2.362558,1.863788,1.428313,159.54863,936.0,907.8985,868.7148,841.1993,802.6016,775.2813,60.0,60.0,60.0,971.8398,944.6172,213.18,53.63137
26820.0,1.715133,2.119864,2.265263,1.848235,1.380932,174.62384,971.8398,944.6172,936.0,907.8985,868.7148,841.1993,60.0,60.0,60.0,1039.125,1011.023,221.9618,47.33796
26880.0,1.656901,2.001953,2.180628,1.839916,1.395761,166.10243,1039.125,1011.023,971.8398,944.6172,936.0,907.8985,60.0,60.0,60.0,1106.117,1077.527,212.9485,46.84607
26940.0,1.792896,2.168692,2.341942,1.91985,1.4898,164.84379,1106.117,1077.527,1039.125,1011.023,971.8398,944.6172,60.0,60.0,60.0,1172.816,1144.227,211.9358,47.09201
27000.0,1.612775,1.925998,2.05476,1.815321,1.329933,147.65621000000002,1172.816,1144.227,1106.117,1077.527,1039.125,1011.023,60.0,60.0,60.0,1239.711,1211.805,193.8223,46.16609
27120.0,1.741898,2.119502,2.272135,1.875,1.451823,151.28763,1239.711,1211.805,1172.816,1144.227,1106.117,1077.527,120.0,60.0,60.0,1344.203,1316.981,203.9786,52.69097
27180.0,1.737558,2.072121,2.222222,1.798683,1.479311,156.66953,1344.203,1316.981,1239.711,1211.805,1172.816,1144.227,60.0,120.0,60.0,1411.781,1384.363,208.7384,52.06887
27240.0,1.753834,2.201967,2.32458,1.865958,1.425781,154.31133,1411.781,1384.363,1344.203,1316.981,1239.711,1211.805,60.0,60.0,120.0,1478.383,1451.16,206.4236,52.11227
27300.0,1.662688,2.144459,2.191117,1.802662,1.470992,163.64293,1478.383,1451.16,1411.781,1384.363,1344.203,1316.981,60.0,60.0,60.0,1545.082,1517.469,215.842,52.19907
27360.0,1.8023,2.112268,2.221137,1.84498,1.452185,163.78763,1545.082,1517.469,1478.383,1451.16,1411.781,1384.363,60.0,60.0,60.0,1611.684,1583.973,215.2778,51.49017
